Catalogue ID,Title,Title (PT),Domain,Projects,What it contains,Key variables,Who holds it,Producer,Contact,Spatial coverage,Native spatial resolution,Analysis unit,Temporal coverage,Temporal resolution,Update frequency,Latency,Access,Access URL,Formats,Licence,Sharing conditions,Personal data,Linkage key,Known limitations,Holding status,Steward,Record status
HEA-001,SINAN - Yellow fever notifications,SINAN - Febre Amarela,Health,YF-TMIN,"Individual notification records of suspected and confirmed human yellow fever, including notification and symptom-onset dates, municipality of residence and of probable infection, case classification and outcome.",Notification date; symptom onset date; municipality of residence (IBGE 6-digit); municipality of probable infection; final classification; evolution/death; vaccination status,Ministério da Saúde / DATASUS (national); state and municipal surveillance secretariats feed the system,Sistema de Informação de Agravos de Notificação (SINAN),Portal de Dados Abertos do SUS - dadosabertos.saude.gov.br,Brazil (analysis subset: Southeast),"Individual record, geocoded to municipality of residence and of probable infection",Municipality,2001-present (yellow fever module),"Daily (event dates), aggregated to epidemiological week","Continuous notification; public files consolidated annually, preliminary files updated more often",Weeks to months for preliminary data; ~1 year for closed annual files,Open,https://dadosabertos.saude.gov.br/,"CSV, DBC/DBF",Open government data (Lei de Acesso à Informação); attribution to MS/SVSA expected,Public de-identified files may be redistributed. Identified line-lists require a data-use agreement with the surveillance authority and ethics approval.,Public files de-identified; municipality of residence retained,IBGE municipality code (6-digit in health files; divide 7-digit code by 10 to match),Under-notification in low-access areas; municipality of probable infection is often missing or inferred; retrospective reclassification changes historical counts.,In use,IPSP Climate and Health Laboratory,Verified
HEA-002,SINAN - Dengue notifications,SINAN - Dengue (arboviroses),Health,DENGUE-SUHI,"Individual notification records of suspected and confirmed dengue, with symptom-onset date, municipality of residence, laboratory results, serotype where typed, severity classification and outcome.",Symptom onset date; notification date; municipality and district of residence; serotype; laboratory confirmation; severity; hospitalisation; evolution,Ministério da Saúde / DATASUS; municipal data flow through COVISA in São Paulo,Sistema de Informação de Agravos de Notificação (SINAN),Portal de Dados Abertos do SUS - dadosabertos.saude.gov.br,Brazil (analysis subset: municipality of São Paulo),Individual record; public files resolve to municipality only,"Municipality (public files); census sector (restricted COVISA extract, see HEA-003)",2000-present,"Daily event dates, aggregated to epidemiological week","Continuous notification; annual consolidated files, weekly preliminary panels",1-4 weeks for preliminary counts; ~1 year for closed files,Open,https://dadosabertos.saude.gov.br/,"CSV, DBC/DBF",Open government data; attribution to MS/SVSA expected,Public files redistributable. Sub-municipal geography is not in the public release and must be requested from COVISA.,Public files de-identified,IBGE municipality code; epidemiological week,"Public geography stops at the municipality, which is too coarse for a heat-island analysis; serotype typed for a small subset of cases.",In use,IPSP Climate and Health Laboratory,Verified
HEA-003,"COVISA arbovirus surveillance line-list, São Paulo","Vigilância de arboviroses - COVISA, Município de São Paulo",Health,DENGUE-SUHI,"Municipal arbovirus surveillance records for São Paulo with residential address geocoding, allowing cases to be assigned to census sectors, districts and weather-station catchments. Includes the subset of cases with a laboratory-confirmed serotype.",Geocoded residence (point or census sector); symptom onset date; case classification; serotype for laboratory-typed cases; age; sex,"COVISA - Coordenadoria de Vigilância em Saúde, Secretaria Municipal da Saúde de São Paulo","COVISA, from SINAN municipal notifications",To be confirmed - COVISA arbovirus surveillance division,Municipality of São Paulo,"Address point, aggregated to census sector or district for release",Census sector x epidemiological week,2015-2024 requested for the retrospective phase,Daily event dates,Weekly internally; release schedule to be agreed,To be confirmed,Restricted - by agreement,Not published; institutional request,"CSV or database extract, to be agreed",Not applicable - governed by the data-use agreement,"Requires CEP/CONEP ethics approval, then a formal data-sharing agreement with COVISA. Aggregated outputs only; no address-level redistribution; publication drafts shared with COVISA before submission.",Yes - geocoded residence is potentially identifying. Aggregate to census sector before analysis and suppress small counts.,IBGE census sector code (2022); epidemiological week,Geocoding completeness varies by year and by neighbourhood; small-area counts require suppression rules.,"To be acquired - awaiting ethics approval, then confirmation with COVISA",IPSP Climate and Health Laboratory,Draft - confirm with COVISA once ethics approval is granted
HEA-004,SINAN - American cutaneous leishmaniasis notifications,SINAN - Leishmaniose Tegumentar Americana (LTA),Health,ACL-AMZ,"Individual notification records of American cutaneous leishmaniasis, with clinical form, municipality of residence and of probable infection, diagnostic criteria, treatment and outcome.",Notification and onset dates; municipality of residence and probable infection; clinical form (cutaneous/mucosal); diagnostic criterion; treatment; evolution; occupation,Ministério da Saúde / DATASUS; Secretaria de Estado da Saúde do Pará,Sistema de Informação de Agravos de Notificação (SINAN),Portal de Dados Abertos do SUS - dadosabertos.saude.gov.br,Brazil (analysis subset: State of Pará),"Individual record, municipality of residence and of probable infection",Municipality x month,2000-2024 in the project; system runs 2001-present,"Daily event dates, aggregated to month",Continuous notification; annual consolidated files,Months to ~1 year,Open,https://dadosabertos.saude.gov.br/,"CSV, DBC/DBF",Open government data; attribution to MS/SVSA expected,Public de-identified files may be redistributed with attribution.,Public files de-identified,IBGE municipality code (6-digit); month,Place of infection frequently differs from place of residence in a mobile rural population; under-diagnosis in areas with limited health-service access.,In use,IPSP Climate and Health Laboratory,Verified
HEA-005,SI-PNI immunisation coverage,SI-PNI - Cobertura vacinal,Health,YF-TMIN; DENGUE-SUHI,"Doses administered and coverage estimates by municipality, age group and immunobiological, including yellow fever and dengue vaccines. Used as a confounder and as denominator context.",Doses applied; immunobiological; dose number; age group; municipality; administration date,Ministério da Saúde / DATASUS - Programa Nacional de Imunizações,Sistema de Informação do Programa Nacional de Imunizações (SI-PNI),Portal de Dados Abertos do SUS - dadosabertos.saude.gov.br,Brazil,Municipality (aggregate); individual dose records in the nominal system,Municipality x month or year,1994-present (varies by immunobiological),Monthly to annual,Monthly consolidation,1-3 months,Open,https://dadosabertos.saude.gov.br/,"CSV, DBC/DBF",Open government data,Redistributable with attribution.,No in the aggregate release,IBGE municipality code; month,Coverage denominators rely on population projections that drifted from the 2022 census; campaign doses can be recorded late.,Candidate - not yet acquired,IPSP Climate and Health Laboratory,Draft
HEA-006,Non-human primate epizootic records,Vigilância de epizootias em primatas não humanos,Health,YF-TMIN,"Reports of sickness or death in non-human primates investigated for yellow fever, the earliest available signal of sylvatic virus circulation and therefore a candidate outcome ahead of human cases.",Event date; municipality; species; laboratory result; classification,Ministério da Saúde / SVSA; state surveillance; SISS-Geo (Fiocruz) for citizen reports,SINAN epizootics module and SISS-Geo,To be confirmed,Brazil (analysis subset: Southeast),Event point or municipality,Municipality x epidemiological week,"2007-present, coverage uneven before 2016",Daily event dates,"Continuous, with reporting peaks during outbreaks",To be confirmed,Partly open - by request,To be confirmed,CSV,To be confirmed,To be confirmed with SVSA and Fiocruz.,No,IBGE municipality code; epidemiological week,"Strongly effort-dependent - reporting rises where surveillance teams are active and during known outbreaks, so absence is not evidence of absence.",Candidate - not yet acquired,IPSP Climate and Health Laboratory,Draft - to verify
CLI-001,ERA5-Land reanalysis - daily surface variables,Reanálise ERA5-Land - variáveis diárias de superfície,Climate,YF-TMIN; DENGUE-SUHI; ACL-AMZ,"Global land-surface climate reconstruction. The laboratory downloads minimum, mean and maximum 2 m air temperature, total precipitation, 2 m dew-point temperature, 10 m wind components and surface pressure, then reduces each to one value per municipality.","Tmin, Tmean, Tmax (2 m); total precipitation; dew-point temperature; 10 m U and V wind; surface pressure","European Centre for Medium-Range Weather Forecasts, through the Copernicus Climate Data Store",ECMWF / Copernicus Climate Change Service (C3S),"Copernicus Climate Data Store, registered account and API key",Global land; downloaded for Brazil,~9 km (0.1 degree grid),Municipality (spatial mean by zonal statistic),1950-2025,"Hourly native; downloaded daily, aggregated to epidemiological week (YF, dengue) or month (ACL)","Rolling, about 2-3 months behind real time",2-3 months,Open - registration required,https://cds.climate.copernicus.eu/,"NetCDF, GRIB",Copernicus licence - free reuse with attribution,Raw data freely redistributable under the Copernicus licence. Derived municipality series may be published with attribution.,No,IBGE municipality code (7-digit); date,"Temperatures arrive in Kelvin (subtract 273.15). A reanalysis is a model product, not a measurement, and 9 km cannot resolve within-city heat contrasts - use CLI-004 for that. Coastal and steep-terrain municipalities are least reliable. The Pará download was extended to dew-point temperature in August 2026; series before that date do not contain it.",In use,IPSP Climate and Health Laboratory,Verified
CLI-002,ERA5-Land weekly climatological normals,Normais climatológicas semanais derivadas do ERA5-Land,Climate,YF-TMIN,"Pre-computed long-term weekly averages per municipality, used as the reference against which any week of any year is called normal or anomalous.","Weekly normals for Tmin (1981-2010 and 1991-2020), Tmax, precipitation, relative humidity and wind speed (1981-2010)",IPSP Climate and Health Laboratory (derived); ERA5-Land upstream,"IPSP, computed from ERA5-Land",IPSP Climate and Health Laboratory,Brazil,Derived from the ~9 km grid,Municipality x ISO week,Baselines 1981-2010 and 1991-2020,Weekly climatology (52 values per municipality),Recomputed when the baseline period changes (roughly every decade),Not applicable,Internal - shareable on request,Internal repository; see DER-001 for the published equivalents,"CSV, Parquet",To be assigned - CC BY 4.0 proposed,Shareable with partners on request; publish alongside the paper.,No,IBGE municipality code; ISO week number,The choice of baseline changes the answer. The 1991-2020 normal is warmer and flags anomalies more conservatively than 1981-2010; state which baseline is used in every output.,In use,IPSP Climate and Health Laboratory,Verified
CLI-003,"Large-scale climate indices - ENSO, IOD, PDO",Índices climáticos de larga escala,Climate,YF-TMIN,"Single global time series describing El Niño-Southern Oscillation, the Indian Ocean Dipole and the Pacific Decadal Oscillation, used as background drivers common to all municipalities.",ENSO index; IOD index; PDO index,Obtained through the InfoDengue Sprint 2024-25 dataset; original indices from NOAA and equivalent agencies,"NOAA and partner agencies, redistributed by InfoDengue",InfoDengue project,Global driver - no spatial variation,Not applicable,"One value per week, applied nationally",1992-present,Weekly,Weekly to monthly depending on index,Days to weeks,Open,InfoDengue Sprint dataset; NOAA for originals,CSV,"Open, attribution to originating agency",Redistributable with attribution.,No,Date / epidemiological week,"No spatial contrast, so these can only explain shared year-to-year variation, not why one municipality differs from its neighbour.",In use,IPSP Climate and Health Laboratory,Verified
CLI-004,"CGE/CGESP municipal weather-station network, São Paulo",Rede de estações meteorológicas do CGE - Município de São Paulo,Climate,DENGUE-SUHI,"The municipal network of automatic weather and rainfall stations operated by São Paulo's climate emergency management centre. This is the only source fine enough to separate hot from cool neighbourhoods inside the city, which is what the heat-island analysis needs.",Air temperature; relative humidity; rainfall; wind; station coordinates and installation history,"CGE - Centro de Gerenciamento de Emergências Climáticas, Prefeitura de São Paulo",CGE / CGESP,To be confirmed - CGE technical division,Municipality of São Paulo,Point stations; station density and catchment size to be documented,"Station catchment or interpolated surface, joined to census sectors",To be confirmed; 2015-2024 requested,"Sub-hourly to hourly, aggregated to daily and weekly","Continuous, near real time on the public portal",Minutes for the live portal; archive access to be confirmed,Partly open - archive by request,https://www.cgesp.org/,"To be confirmed - web portal, possible CSV export",To be confirmed,"To be agreed with CGE at project start, together with archive access, the station history file and the citation terms. Expect attribution and possibly an acknowledgement or co-authorship arrangement for the historical archive.",No,Station identifier with coordinates; date,"Stations are unevenly distributed and periphery coverage is thinner than the centre, which risks under-measuring the hottest and most dengue-affected areas. Record gaps and instrument changes need a station-history file.",To be acquired - terms agreed at project start,IPSP Climate and Health Laboratory,Draft - confirm with CGE at project start
